bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_T1w	0.4259033569016392	2.9636753377850513	0.710256093291972	55300.47265625	4.04099	3.85063	4.37149	3.90085	0.19666694886553693	0.4043342912442934	0.3989987598901697	1.8979096412658691	0.5836340129375457	0.015252986318441821	7.004267585098055e-05	30.758344503121073	15.605780121248706	19.13545981772991	180	240	240	3.4138785354115098	12.32266355252536	14.013670237537923	26.3044686246769	61.42184716133994	128.07490152438695	117.89251456177588	164.18079499960075	1.0	1.0	1.0	7.707816724894988	3.990389585494995	5.207427501678467	2.691476821899414	334968.0	0.0	21.71756362915037	7.325232028961182	8.411060038620706	85.99844360351562	398.3915710449219	374.11614990234375	19792.0	270.38709869384763	602.3832733154297	109.58406829833984	0.5048509075894541	59.6717529296875	782.3200073242188	780.09521484375	18143.0	683.9154113769531	892.3870117187499	63.303985595703125	0.9874939606509381	33.99225616455078	998.5734252929688	1000.013671875	181574.0	933.0720733642578	1057.5033813476562	38.01676940917969	0.24411679804325104	0.5040886998176575	0.5631563663482666	0.6630782250053341
sub-002_T1w	0.3912465445375306	3.2220566241604547	0.691265725435952	62425.015625	4.21287	4.04268	4.46425	4.13168	0.19977185992630322	0.4125301781265828	0.3876979619471139	1.8073666095733643	0.684909462928772	0.010672492143115081	6.598276350143646e-05	30.165629712043803	15.343982899935845	19.43116289247904	180	240	240	3.517760401873914	12.342238558281657	13.84032215246919	25.660967497251992	71.10255401421024	144.24782877546662	134.76107362675964	188.93283809060202	1.0	1.0	1.0	6.82268233010082	3.467562675476074	4.862112045288086	2.3388354778289795	486949.0	0.0	19.197021484375	6.566596031188965	1.8430780064324441	80.886474609375	398.6689453125	376.3377685546875	25708.0	265.2340362548828	609.5443695068359	106.9801254272461	0.3512063265874952	58.5821533203125	765.9118041992188	763.4874267578125	20344.0	669.5217712402343	873.7833099365233	61.85820007324219	0.9413452526155321	33.95262145996094	997.9546508789062	1000.0001220703125	181201.0	927.4759521484375	1058.036865234375	38.96958923339844	0.24324584007263184	0.516617476940155	0.570422887802124	0.7119470509778273
sub-003_T1w	0.5113514925475279	2.527461781378115	0.7254109646595488	11678.2958984375	4.069856666666667	3.92921	4.38515	3.89521	0.19211241544196125	0.394749291169447	0.4131382933885917	1.884500503540039	0.6152934312820433	0.0	7.542351652656802e-05	26.071061977839364	13.126030784733075	15.316544117099722	180	240	240	3.094818263248901	11.491974234089763	12.87156880274192	24.0279139108871	56.50615065404166	115.60733600608026	105.85121698803307	145.44016430397735	1.0	1.0	1.0	3.12629594644487	4.50459098815918	8.198108673095703	5.655788898468018	339682.0	0.0	25.783057880401614	8.38706111907959	1.592662979239849	120.12535095214844	415.0133361816406	388.5253601074219	20451.0	253.00518798828125	629.4228820800781	125.53753662109375	0.3462969380402643	66.56851196289062	798.0703125	794.8936767578125	23041.0	690.4761962890625	918.5736694335938	69.16796112060547	0.7608191682014138	38.32233810424805	1000.3914184570312	1000.0184326171875	241444.0	932.4723571777344	1069.1194641113282	41.61894226074219	0.2276095300912857	0.4931171238422394	0.5617767572402954	0.6524144999426167
sub-004_T1w	0.3973299471005745	3.1317227648955592	0.704359756888019	62265.75	4.11917	3.90336	4.47612	3.97803	0.19486010620252361	0.4113769934382384	0.393762900359238	1.992538332939148	0.6502307653427124	0.0	2.416126916433684e-05	29.18949486362026	14.619487957747083	18.255471916207792	180	240	240	3.1838663673294954	12.252583996220785	12.861548874701379	23.148196260553856	66.18639000129718	135.08682475643442	126.20229995821882	177.33368511692484	1.0	1.0	1.0	4.693394840306494	3.694403886795044	6.107141494750977	2.491837501525879	563563.0	0.0	21.01793651580811	7.4456892013549805	2.903886961557129	101.77534484863281	398.91943359375	373.234130859375	23542.0	255.3940719604492	608.7241455078125	117.22420501708984	0.7081242026715189	57.02046203613281	765.0708618164062	761.7731323242188	20735.0	670.0232788085938	873.8990905761718	62.17094802856445	1.1785077672154216	37.63777160644531	997.7916259765625	1000.0089721679688	196143.0	921.8237731933593	1062.9647827148438	43.20018768310547	0.24247238039970398	0.5128241777420044	0.567330539226532	0.7090343329698257
sub-005_T1w	0.5041652205892855	2.5736725316540556	0.6912599822894189	78616.796875	4.247096666666667	4.14262	4.49393	4.10474	0.19768897883077438	0.4082094850785242	0.39410153609070137	2.256711483001709	0.8369930803775785	0.017201936436845266	7.69050677609038e-05	25.99840087711764	13.151498996891522	16.391937727122826	180	240	240	3.399012222904287	10.816917466037097	13.173705603694737	25.305187122142833	75.29290572059885	147.69685150499427	136.9403186866576	187.83119883437968	1.0	1.0	1.0	8.28277894755058	3.487940549850464	4.540622711181641	2.3525800704956055	626048.0	0.0	19.543055152893068	6.846847057342529	1.051032169144058	108.56634521484375	426.9886474609375	400.8587951660156	23196.0	273.03733825683594	634.6887054443359	117.93136596679688	0.27891048740074487	70.79728698730469	791.298828125	786.3367919921875	21376.0	681.4375	920.3666534423828	72.69338989257812	0.592070164948614	36.930179595947266	999.1419067382812	1000.01171875	212180.0	932.0208892822266	1061.8269470214843	39.51795959472656	0.23624660074710846	0.5141239762306213	0.5734593868255615	0.646019263180172
sub-006_T1w	0.4031531543490878	3.199082857126992	0.7037052900708509	51025.23046875	4.236603333333334	4.08865	4.56749	4.05367	0.21501387707611513	0.40691594717016805	0.3780701757537168	1.730879306793213	0.5496075570583345	0.0	1.2125295813756562e-05	27.573616488423802	14.583589870762145	18.326425497746943	180	240	240	3.6341263393487635	13.649942207769596	13.388648266335807	22.881876251889057	66.07837061520648	133.38888396819405	124.22487058934921	173.20735718464712	1.0	1.0	1.0	5.910756750634873	3.7823939323425293	7.13971471786499	2.5511858463287354	411070.0	0.0	24.621053791046144	8.437163352966309	1.2684733480677677	88.91604614257812	399.2568664550781	381.4998474121094	44001.0	257.41998291015625	597.199951171875	104.9758529663086	0.24635289239726665	54.579742431640625	770.6792602539062	770.1134033203125	18639.0	678.6411499023438	864.3766052246093	56.41728973388672	0.9347505119381765	38.101043701171875	996.3220825195312	1000.003173828125	181578.0	915.0193908691406	1060.5274658203125	43.702728271484375	0.22309371829032898	0.49589261412620544	0.5521810054779053	0.7109063194595375
sub-007_T1w	0.47004519030799463	2.6790628318013914	0.709436640525167	54197.31640625	4.1796066666666665	4.03728	4.4436	4.05794	0.20591419354780338	0.3901815496454546	0.403904256806742	1.9515197277069092	0.6827530860900879	0.006808016120487281	4.930510533461716e-05	27.0103769550262	14.37621910487642	17.217176590603128	180	240	240	3.179394626500066	10.387932754440804	13.128316491943018	25.817622094888183	69.15460588972863	142.99247597416604	132.27705029633415	184.6840690251078	1.0	1.0	1.0	4.882913488594791	3.5473568439483643	5.4362101554870605	2.392655849456787	322414.0	0.0	19.56999111175537	6.7086052894592285	10.03334366901782	107.74242401123047	393.6488037109375	374.45037841796875	24016.0	242.55777740478516	595.0009155273438	117.77165985107422	0.16084885063977516	72.01380157470703	779.9305419921875	774.2591552734375	15645.0	667.346630859375	911.5426513671874	74.53209686279297	1.176679020859953	34.097408294677734	997.8964233398438	1000.0059814453125	214681.0	929.2958984375	1056.078125	38.733375549316406	0.23374809324741364	0.5022233128547668	0.5802017450332642	0.769907557200854
sub-008_T1w	0.47439552800449086	2.691665345604443	0.7095533856479013	11871.2138671875	4.379103333333333	4.24945	4.63966	4.2482	0.20401291036540828	0.3911421244728412	0.40484496516175056	1.6838963031768799	0.6179709911346438	0.0003499648325241584	4.666523501859472e-05	26.156097771701706	13.785192001759516	16.290530475130566	180	240	240	4.095060255355454	11.313141102053823	12.874567664038253	23.215501634705475	31.021961769161173	62.42289851249585	57.88647714010068	80.21457113864503	1.0	1.0	1.0	23.05870753591242	8.167461395263672	11.057263374328613	5.537521839141846	522189.0	0.0	36.160943603515605	14.263428688049316	1.4538948817761224	76.43934631347656	397.5733337402344	386.74493408203125	27764.0	264.2852416992188	577.4896392822266	94.44011688232422	0.5115828137155658	65.5280532836914	782.3720092773438	778.2144775390625	16059.0	678.8567199707031	903.8633178710937	68.7863998413086	0.7381411382271716	39.6954460144043	999.1304931640625	1000.0198974609375	224411.0	926.4119567871094	1067.6690063476562	43.0754280090332	0.22816605865955353	0.4944618344306946	0.5657257437705994	0.6901526381490616
sub-009_T1w	0.42648581738574537	3.052099011127795	0.6652857680993951	75060.1796875	4.268383333333333	4.1201	4.57924	4.10581	0.1954121871687841	0.40014675672985855	0.40444105610135733	1.9753540754318237	0.6762939453124994	0.004101275425536959	2.4874233554452195e-05	28.947073987344083	14.647411371544067	17.758420493431945	180	240	240	3.3463856657696245	13.027858438131709	13.531936006445312	24.221563915434604	75.32801034352481	149.8195253855234	139.33207358617202	192.8486850294679	1.0	1.0	1.0	110.51809643352215	3.3971619606018066	4.391838550567627	2.291350841522217	686084.0	0.0	19.08561973571777	9.169806480407715	5.415578712172415	100.39594268798828	411.60699462890625	390.60791015625	19918.0	259.9393051147461	618.2426025390624	116.72238159179688	0.31236008154842443	58.22417449951172	777.0409545898438	776.8782348632812	19456.0	680.9358978271484	875.2970275878906	59.63054275512695	0.9146155256262061	36.9352912902832	997.9999389648438	1000.0028076171875	206224.0	924.9001373291015	1061.1008056640626	41.28554153442383	0.2329259067773819	0.5049383640289307	0.5698931217193604	0.7218452705900502
sub-010_T1w	0.5611341189029921	2.3530923552858805	0.745853681517225	3190.2294921875	3.986266666666667	3.80862	4.32902	3.82116	0.20343151657628217	0.39454790066045775	0.4020205827632601	1.8623132705688477	0.6444395065307611	0.0	7.898092826604039e-05	30.792521571241135	16.13037306837355	19.470179052298388	180	240	240	3.372635394805169	11.186486068105884	12.12080383749363	21.803290049569835	26.48646768846753	54.238138229318736	49.5314328624635	67.86969266960423	1.0	1.0	1.0	1.737902854290148	9.65292739868164	10.332828521728516	9.814529418945312	267700.0	0.0	27.224642467498775	8.87744140625	2.528525292792076	106.94273376464844	411.81201171875	390.2575988769531	19847.0	260.9154815673828	623.4196960449219	115.71003723144531	-0.06655345823950531	71.79603576660156	797.5777587890625	799.156982421875	14176.0	679.4587707519531	914.2840728759766	71.43698120117188	0.8444768441513286	40.90797805786133	1000.4268798828125	1000.0073852539062	185580.0	925.3378601074219	1076.871496582031	45.86485290527344	0.24077437818050385	0.5093275308609009	0.5821874141693115	0.681814408390402
