bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-068_task-rest_bold	0.0018501333333333328	0.012863043700000002	0	21.760599429832784	1.0476211063210712	0.918621143712374	0.38225338782791646	186413.359375	0.10016238496435831	3	1.0	2.4224955555555554	2.2298466666666665	2.726226666666667	2.3114133333333333	0.0916134	-0.0168504249304533	0.011670405976474285	300	80	80	37	4.28748646890676	2.0000016689300537	3.0	3.0	3.0	120.32818335215909	147.2960968017578	1064.470458984375	123.85137939453125	164638.0	7.98996217250824	4602.505151367187	3485.05517578125	2.815720661083086	9829.8671875	57526.74609375	57835.46484375	33438.0	35090.195703125	77649.737890625	13489.162109375	38.530845642089844
sub-069_task-rest_bold	0.006387833333333333	0.018604360733333335	0	27.7428400811371	1.2545766642809364	1.0096008112374584	0.391882028140001	147205.0625	0.09841807200566578	0	0.0	2.340733333333333	2.2438733333333336	2.5545266666666664	2.2238	0.114925	-0.008989044465124607	0.010804432444274426	300	80	80	37	4.659825450892853	2.0000016689300537	3.0	3.0	3.0	232.72606519162332	149.64544677734375	896.0492553710938	127.673095703125	161842.0	9.714165830612181	3972.3597290038824	2890.90869140625	3.596319484232172	8043.7109375	52463.39453125	51681.2734375	35698.0	36943.0595703125	71206.73867187502	11090.662109375	34.53779602050781
sub-070_task-rest_bold	0.0028646333333333333	0.020623848666666666	0	31.713962395618733	1.0975859115719067	0.9352118612374583	0.40879415765193955	131369.34375	0.23878324383209615	25	8.333333333333334	2.4769977777777776	2.4052366666666667	2.6695266666666666	2.35623	0.0850579	-0.0050811185501515865	0.015391339547932148	300	80	80	37	4.714427318037239	2.0000016689300537	3.0	3.0	3.0	168.59949612368567	171.79025268554688	1060.870361328125	156.01779174804688	157884.0	18.013442993164062	4439.548876953126	4005.359375	2.6652313268542587	10290.759765625	60123.68359375	60281.37890625	38994.0	40249.3642578125	79641.884375	12786.4111328125	33.951744079589844
sub-072_task-rest_bold	0.0014893333333333332	0.014625280033333332	0	24.22019455170568	0.9512089069230775	0.9017928568227424	0.39459282741337265	72219.4140625	0.19089386440793152	3	1.0	2.3730566086159857	2.2862066666666667	2.6416233333333334	2.1913398258479573	0.0709648	-0.001980639062821865	0.0026191528886556625	300	80	80	37	4.124107217995525	2.0000016689300537	3.0	3.0	3.000000238418579	94.26288587379656	191.47222900390625	930.1534423828125	189.25009155273438	160733.0	25.568544769287115	4071.7615722656187	2844.721923828125	4.014467290185982	8960.32421875	53998.46484375	53582.3046875	36614.0	34894.6328125	75141.91640624998	12992.2841796875	38.16844940185547
sub-073_task-rest_bold	0.0017426333333333333	0.013645046833333332	0	23.048615401404682	1.1404781003344493	0.9457726750836117	0.3966275080058096	164666.875	0.12731913739361825	2	0.6666666666666666	2.4966233967925047	2.3829	2.7114666666666665	2.3955035237108486	0.0558253	-0.0031387610360980034	0.006899562198668718	300	80	80	37	4.9148918955893555	2.0000016689300537	3.0	3.0	2.999999761581421	177.58236412282523	147.64126586914062	856.5123291015625	142.4620361328125	160028.0	10.84576873779297	3953.2517211914005	2885.55322265625	2.8245958551994486	9621.353515625	61351.19921875	61902.1953125	37682.0	40471.0904296875	79993.91445312499	12594.65625	44.98200988769531
sub-074_task-rest_bold	0.0015367	0.018199014966666666	0	36.18067578749163	1.1316503371906357	0.9989948084280935	0.3975008229009355	173204.421875	0.14471377273011793	1	0.3333333333333333	2.4022133950623807	2.3306066666666667	2.54584	2.330193518520476	0.0290358	-0.0075885639525949955	0.015665797516703606	300	80	80	37	4.223011496614111	2.0000016689300537	3.0	3.0	2.999999761581421	212.4799664907266	137.94570922851562	947.6185302734375	128.99395751953125	159575.0	15.20017671585083	4501.823730468745	3342.301025390625	3.041163438031383	9702.8701171875	57556.56640625	56821.7890625	37946.0	38589.201171875	80878.474609375	13455.099609375	37.35520935058594
sub-075_task-rest_bold	0.004168366666666666	0.011476349066666669	0	22.730639476588635	1.1232806873913042	0.9607324556187291	0.3848477505208693	143600.15625	0.09510275969199095	7	2.3333333333333335	2.429414444444444	2.2362699999999998	2.7005	2.3514733333333333	0.139564	-0.011575986631214619	0.010992457158863544	300	80	80	37	4.635812348998906	2.0000016689300537	3.0	3.0	3.0	180.17526618059185	163.54681396484375	838.5507202148438	145.30148315429688	162784.0	11.73296012878418	3527.57829589844	2875.8583984375	3.2709414515505397	9597.1015625	58818.8671875	58937.609375	35342.0	38535.1666015625	78100.68007812498	12713.365234375	38.11943817138672
sub-076_task-rest_bold	0.0011365333333333333	0.008178157100000001	0	38.22766168137129	1.4843796108361211	0.9609036949832785	0.40159702287976384	93772.4921875	0.05692075785806459	0	0.0	2.335867717270414	2.27059	2.4529366666666665	2.2840764851445763	0.0787475	-0.006086552515625954	0.010752901434898376	300	80	80	37	4.3257244740731275	2.0000016689300537	3.0	3.0	3.000000238418579	210.3251150790178	187.61212158203125	896.6881103515625	166.87843322753906	159323.0	11.30768632888794	3826.261962890621	2988.893310546875	2.820869817297379	9761.8818359375	55796.84375	54818.375	38052.0	37908.4455078125	77466.09101562499	12672.4794921875	51.41289138793945
sub-077_task-rest_bold	0.0034360333333333334	0.018899674866666664	0	29.971999414113704	1.0992921837458194	0.931414595919733	0.38781923475666885	111098.171875	0.1527727340577654	8	2.6666666666666665	2.37316	2.2526066666666664	2.6597233333333334	2.20715	0.0556768	-0.010052558034658432	0.01682400144636631	300	80	80	37	4.190022050219775	2.0000016689300537	3.0	3.0	3.0	140.12401854293176	177.37420654296875	1031.0006103515625	162.78854370117188	162385.0	17.227862930297853	4357.8661132812485	3575.194091796875	2.92251858278511	10402.9970703125	58344.5546875	57140.953125	35353.0	39027.50703125	82515.59375	13637.1943359375	34.558536529541016
