bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_ses-t0_task-rest_bold	0.0017664333333333334	0.0095990202	0	31.903410748695638	1.4368578213043468	1.0068022413377926	0.4375930234876796	143985.5	0.19273270008238583	4	1.3333333333333333	1.9981282917890557	1.9764466666666667	2.15752	1.860418208700501	0.0445273	-0.008888955228030682	0.02299521490931511	300	80	80	39	6.0876421638444835	1.9999991655349731	3.0	3.0	3.299999952316284	52.3425207415606	73.36340026586711	803.521728515625	61.98920822143555	171471.0	7.398990869522095	4275.650390625	1996.8121337890625	1.3718582567828	3572.052057573278	24021.904296875	24011.521484375	35120.0	17465.390625	30123.81630859375	3944.24951171875	69.34317016601562
sub-001_ses-t1_task-rest_bold	0.001374	0.008943596866666665	0	23.278119967658878	1.2772882067892972	0.983310340869565	0.4399908906392766	156961.703125	0.1123282737861475	0	0.0	2.083845840747141	2.0592099999999998	2.238516666666667	1.9538108555747564	0.0319764	-0.011637972667813301	0.023057645186781883	300	80	80	37	5.998177531048063	1.9999995231628418	3.0	3.0	3.3299999237060547	63.61399591998017	75.13603840974181	806.9786987304688	60.400634765625	161600.0	5.72294499874115	4300.490380859367	2029.944091796875	1.20876289410307	3624.0155279074247	24116.8203125	24112.177734375	33973.0	17478.337109375	30443.581249999996	4019.858154296875	69.85059356689453
sub-001_ses-t5_task-rest_bold	0.0010033	0.011881892266666666	0	23.752429065886293	1.1586096897324425	0.9391618860869566	0.42313669562365364	125867.703125	0.14589099098956274	3	1.0	2.2589690849633146	2.230983333333333	2.4647166666666664	2.081207254889944	0.0298543	-0.004958613775670528	0.016110414639115334	300	80	80	37	5.741845882274692	1.9999983310699463	3.0	3.0	3.3299999237060547	67.95709564064525	220.45973294177887	1570.849853515625	183.25869750976562	161325.0	13.118136405944826	7746.357324218745	4453.0146484375	0.6572776832001108	10785.826894159765	66899.21875	67299.578125	33819.0	46789.782031250004	85645.55078125	11720.72265625	52.74847412109375
sub-002_ses-t0_task-rest_bold	0.0024298000000000006	0.012777104533333333	0	29.278877609096977	1.4101716239464879	0.9889659973578604	0.37063583861548505	241786.953125	0.16957756277978472	3	1.0	1.809667685038167	1.7968333333333335	1.9150666666666665	1.7171030551145012	0.0812332	-0.011653645895421505	0.0017830299912020564	300	80	80	39	5.552027594225375	1.9999991655349731	3.0	3.0	3.299999952316284	238.31789982110544	54.925756440985204	357.67840576171875	46.58304977416992	180005.0	1.334214186668396	1654.0064941406229	1180.22119140625	3.00238311017909	3397.895523925656	24187.619140625	23838.232421875	29303.0	17831.24921875	31480.253124999996	4293.53515625	55.46076965332031
sub-002_ses-t14_task-rest_bold	0.0013690333333333333	0.023939426000000003	0	27.053334692274248	1.1871112963879595	0.8894881587625416	0.37514726981167396	293336.28125	0.22316005767118471	5	1.6666666666666667	1.9625021262050044	1.9657433333333334	2.076426666666667	1.8453363786150128	0.0135131	-0.012084037996828556	0.0024697117041796446	300	80	80	37	5.292574481420157	1.9999995231628418	3.0	3.0	3.3299999237060547	245.82308491814254	55.50040732375758	397.0538024902344	48.15768814086914	169015.0	2.9600105285644536	1868.390893554687	1310.46484375	2.4580834598361108	4119.921356484156	27055.11328125	26765.67578125	28618.0	19346.1755859375	35611.640820312496	5057.12451171875	39.07955551147461
sub-002_ses-t1_task-rest_bold	0.005411366666666667	0.018001336366666666	0	31.18046817976591	1.2028766925418064	0.9652328866220736	0.37834826222357065	285181.125	0.42056942908831596	91	30.333333333333332	1.9466793829946596	1.9680866666666665	2.0878433333333333	1.784108148983979	0.0127614	-0.011332310736179352	0.0018729098374024034	300	80	80	37	5.227610328561366	1.9999995231628418	3.0	3.0	3.3299999237060547	212.38109651249633	59.8823748104352	404.4007873535156	47.0861930847168	168695.0	2.3817228555679324	1938.0337280273434	1289.232177734375	2.4764651441846803	4114.455708657145	26166.68359375	25887.908203125	29093.0	18557.636328125	34448.18203125	4952.064453125	43.63823318481445
sub-002_ses-t2_task-rest_bold	0.0013437	0.028239180666666665	0	31.34587790571906	1.1667367481270894	0.9050614692976587	0.3815925129332761	238262.484375	0.3626921516220158	42	14.0	1.870072065158391	1.8664933333333333	2.0275666666666665	1.7161561954751734	0.0102796	-0.01180950365960598	0.002076046774163842	300	80	80	37	5.729854014319982	1.9999995231628418	3.0	3.0	3.3299999237060547	201.38452288358005	50.73225737501882	358.8377380371094	45.3875846862793	168441.0	3.9877967834472656	1676.7513427734375	1142.6397705078125	3.0766821240185003	3132.718217750131	22573.3984375	22335.521484375	29399.0	16736.4916015625	29059.672851562496	3898.02978515625	38.824951171875
sub-002_ses-t3_task-rest_bold	0.0014782666666666665	0.012457238	0	32.96249154909701	1.4039761579598666	0.9758875493979934	0.3832625994561774	141436.4375	0.2192018588401333	6	2.0	1.8049272601747697	1.7862566666666666	1.9357833333333332	1.6927417805243088	0.0169219	-0.012813130393624306	0.0018730191513895988	300	80	80	37	5.856009780953603	1.9999983310699463	3.0	3.0	3.3299999237060547	187.31049850348668	175.94436435821362	1019.4656982421875	149.41525268554688	169192.0	10.432307624816897	4716.30156249997	3092.024658203125	2.751349299512115	7714.6656255521975	58359.234375	57512.1328125	29134.0	43914.565625	75388.76015624999	9820.8759765625	63.672698974609375
sub-002_ses-t4_task-rest_bold	0.006237166666666668	0.03109022033333333	0	25.28625097879601	1.0639828961872915	0.947446158294314	0.3721043100566271	131838.09375	0.30595909611729566	44	14.666666666666666	1.9984174816092322	1.98212	2.1613966666666666	1.8517357781610295	0.0291265	-0.009661943651735783	0.008467734791338444	300	80	80	37	5.296443753283423	1.9999983310699463	3.0	3.0	3.3299999237060547	297.9255090297879	178.80749227949036	916.402587890625	177.68991088867188	169340.0	23.415620422363283	3935.6133422851544	3106.44775390625	2.879761996250008	10157.75952934533	66719.265625	65726.640625	28677.0	48762.6625	88332.7046875	12409.36328125	34.64057159423828
sub-003_ses-t0_task-rest_bold	0.016785833333333333	0.035826407766666665	0	26.758324074548508	1.0428141313043475	1.0046648648829426	0.44022418171666877	190630.390625	0.41044327582954904	56	18.666666666666668	1.9442111199353282	1.8958633333333335	2.1047033333333336	1.8320666931393175	0.0404216	-0.010420472361147404	0.023338615894317627	300	80	80	39	5.436540112306503	1.9999991655349731	3.0	3.0	3.299999952316284	188.71887699584542	60.375062184597276	511.71575927734375	50.82019805908203	165180.0	3.3509096264839173	2532.5474243164044	1702.5269775390625	3.0376838693940655	3394.785534115744	23254.58984375	23023.97265625	40581.0	16967.73046875	30263.27734375	4234.9892578125	32.529212951660156
sub-003_ses-t1_task-rest_bold	0.002427633333333334	0.014265570766666666	0	28.602133479899674	1.1877776193979934	0.9544551566220739	0.4471930120755858	192134.25	0.34427983941346435	48	16.0	1.98304660084309	1.9532366666666665	2.1291433333333334	1.8667598025292704	0.0223344	-0.012964303605258465	0.02353593334555626	300	80	80	37	5.271839407046024	1.9999995231628418	3.0	3.0	3.3299999237060547	173.03764711735263	67.30088251563072	572.045654296875	55.68466567993164	154516.0	3.666517913341522	2843.1663818359375	1908.27197265625	2.3127766938864296	4019.0653135750913	25380.646484375	25166.634765625	39953.0	18155.506640625	33271.2640625	4773.7265625	50.049503326416016
